timestamp,src_ip,dst_ip,protocol,packet_size,time_interval
2011-08-16 11:56:24,147.32.84.165,147.32.80.9,udp,77,0.0
2011-08-16 11:56:24,147.32.84.165,147.32.80.9,udp,77,0.0
2011-08-16 11:56:24,147.32.80.9,147.32.84.165,udp,189,0.0
2011-08-16 11:56:24,147.32.84.165,147.32.80.9,udp,77,0.0
2011-08-16 11:56:24,147.32.84.165,147.32.80.9,udp,77,0.0
2011-08-16 11:56:24,147.32.84.165,61.135.188.210,tcp,62,0.0
2011-08-16 11:56:24,147.32.84.165,61.135.188.210,tcp,62,0.0
2011-08-16 11:56:24,147.32.80.9,147.32.84.165,udp,189,0.0
2011-08-16 11:56:24,147.32.84.165,61.135.188.212,tcp,62,0.0
2011-08-16 11:56:24,147.32.84.165,61.135.188.212,tcp,62,0.0
2011-08-16 11:56:25,61.135.188.210,147.32.84.165,tcp,60,1.0
2011-08-16 11:56:25,147.32.84.165,61.135.188.210,tcp,60,0.0
2011-08-16 11:56:25,147.32.84.165,61.135.188.210,tcp,60,0.0
2011-08-16 11:56:25,147.32.84.165,61.135.188.210,tcp,216,0.0
2011-08-16 11:56:25,147.32.84.165,61.135.188.210,tcp,216,0.0
2011-08-16 11:56:25,61.135.188.212,147.32.84.165,tcp,60,0.0
2011-08-16 11:56:25,147.32.84.165,61.135.188.212,tcp,60,0.0
2011-08-16 11:56:25,147.32.84.165,61.135.188.212,tcp,60,0.0
2011-08-16 11:56:25,147.32.84.165,61.135.188.212,tcp,304,0.0
2011-08-16 11:56:25,147.32.84.165,61.135.188.212,tcp,304,0.0
2011-08-16 11:56:25,61.135.188.210,147.32.84.165,tcp,60,0.0
2011-08-16 11:56:25,61.135.188.210,147.32.84.165,tcp,60,0.0
2011-08-16 11:56:25,147.32.84.165,61.135.188.210,tcp,60,0.0
2011-08-16 11:56:25,147.32.84.165,61.135.188.210,tcp,60,0.0
2011-08-16 11:56:25,61.135.188.212,147.32.84.165,tcp,60,0.0
2011-08-16 11:56:25,61.135.188.212,147.32.84.165,tcp,202,0.0
2011-08-16 11:56:25,61.135.188.212,147.32.84.165,tcp,60,0.0
2011-08-16 11:56:25,147.32.84.165,61.135.188.212,tcp,60,0.0
