dst_ip,c2_comm_count
111.89.136.100,4
111.89.136.101,4
111.89.136.102,2
111.89.136.103,2
111.89.136.104,1
111.89.136.105,1
111.89.136.106,1
111.89.136.107,1
111.89.136.108,1
111.89.136.109,1
111.89.136.110,1
111.89.136.111,1
111.89.136.28,8
111.89.136.29,8
111.89.136.30,8
111.89.136.31,8
111.89.136.32,8
111.89.136.33,8
111.89.136.34,8
111.89.136.35,8
111.89.136.36,8
111.89.136.37,8
111.89.136.38,8
111.89.136.39,8
111.89.136.40,8
111.89.136.41,8
111.89.136.42,8
111.89.136.43,8
111.89.136.44,8
111.89.136.45,8
111.89.136.46,8
111.89.136.47,8
111.89.136.48,8
111.89.136.49,8
111.89.136.50,8
111.89.136.51,8
111.89.136.52,8
111.89.136.53,8
111.89.136.54,8
111.89.136.55,8
111.89.136.56,8
111.89.136.57,8
111.89.136.58,8
111.89.136.59,8
111.89.136.60,8
111.89.136.61,8
111.89.136.62,8
111.89.136.63,8
111.89.136.64,8
111.89.136.65,8
111.89.136.66,8
111.89.136.67,8
111.89.136.68,8
111.89.136.69,8
111.89.136.70,8
111.89.136.71,8
111.89.136.72,8
111.89.136.73,8
111.89.136.74,8
111.89.136.75,8
111.89.136.76,8
111.89.136.77,8
111.89.136.78,8
111.89.136.79,8
111.89.136.80,8
111.89.136.81,8
111.89.136.82,8
111.89.136.83,7
111.89.136.84,7
111.89.136.85,7
111.89.136.86,7
111.89.136.87,7
111.89.136.88,7
111.89.136.89,7
111.89.136.90,7
111.89.136.91,6
111.89.136.92,6
111.89.136.93,6
111.89.136.94,4
111.89.136.95,4
111.89.136.96,4
111.89.136.97,4
111.89.136.98,4
111.89.136.99,4
147.32.80.9,4
147.32.84.165,290
147.32.84.255,2
78.40.125.4,146
